id,unit,name,start,end,agency,acres,cause
MEU-4691,MENDOCINO,SHAMROCK EAST LIGHTNING,2008-06-21,7/12/2008,CDF,469,LIGHTNING
MEU-4639,MENDOCINO,BRUSHY 1  LIGHTNING,2008-06-21,7/9/2008,CDF,391,LIGHTNING
SHU-4743,SHASTA,COLEMAN FISH HATCHERY R3,2008-06-21,7/2/2008,CDF,388,LIGHTNING
MEU-4673,MENDOCINO,OSO LIGHTNING,2008-06-21,7/13/2008,CDF,373,LIGHTNING
MEU-4669,MENDOCINO,BRUSHY 3 LIGHTNING,2008-06-21,7/13/2008,CDF,327,LIGHTNING
KNF-3393,SISKIYOU,BEAR WALLOW COMPLEX,2008-06-22,9/30/2008,USFS,192038,LIGHTNING
LNU-4843,LAKE/COLUSA,WALKER,2008-06-22,6/29/2008,CDF,15000,HUMAN
MEU-4730,MENDOCINO,ORR SPRINGS RD UKV 2,2008-06-22,7/10/2008,CDF,3000,LIGHTNING
LMU-2725,LASSEN,POPCORN,2008-06-22,7/8/2008,CDF,3000,LIGHTNING
LNF-2781,TEHEMA,MILL COMPLEX,2008-06-22,6/29/2008,USFS,2100,LIGHTNING
SHU-5554,SHASTA,VENTURE,2008-06-22,7/4/2008,CDF,1912,LIGHTNING
MEU-4752,MENDOCINO,CLIFF RIDGE LIGHTNING,2008-06-22,7/12/2008,CDF,1000,LIGHTNING
LNF-2776,TEHEMA,ANTELOPE,2008-06-22,6/26/2008,USFS,600,LIGHTNING
CZU-5708,SAN MATEO,QUARRY,2008-06-22,6/29/2008,CDF,300,UI
LMU-2759,LASSEN,CORRAL,2008-06-23,7/7/2008,CDF,12500,LIGHTNING
MMU-8107,MARIPOSA,OLIVER,2008-06-23,7/6/2008,CDF,2789,LIGHTNING
TGU-4261,TEHAMA,MILL CREEK,2008-06-24,7/1/2008,CDF,13580,LIGHTNING
MEU-4941,MENDOCINO,JUAN CREEK LIGHTNING,2008-06-27,7/15/2008,CDF,450,UI
SQF-1356,KERN,PIUTE,2008-06-28,7/25/2008,USFS,37026,MISC.
MEU-5011,MENDOCINO,HARDY,2008-06-30,6/30/2008,CDF,5581,LIGHTNING
LPF-1778,SANTA BARBARA,GAP,2008-07-01,7/28/2008,USFS,9443,MISC.
